indicator,indicator_family,required
Fuel consumption|Electricity|Liquids|Fossil|Diesel|Boilers,fuel_consumption_supply,False
Emissions|Kyoto gases|Fossil CO2|Electricity|Liquids|Fossil|Diesel|Boilers,emission_supply,False
Efficiency|Electricity|Liquids|Fossil|Diesel|Steam turbines,efficiency_supply,False
Investments|Electricity|Liquids|Fossil|Diesel|Steam turbine based plants,investment_supply,False
Generation|Winter peak|Electricity|Liquids|Fossil|Diesel|Steam turbines,winter_peak_hourly_generation,False
Generation|Summer peak|Electricity|Liquids|Fossil|Diesel|Steam turbines,summer_peak_hourly_generation,False
Generation|Percentile 25|Electricity|Liquids|Fossil|Diesel|Steam turbines,Percentile25_hourly_generation,False
Generation|Percentile 50|Electricity|Liquids|Fossil|Diesel|Steam turbines,Percentile50_hourly_generation,False
Final energy consumption|Heating|Space heating|Residential|Liquids|Fossil|Diesel,fuel_eff_emi_heating,False
Final energy consumption|Cooling|Space cooling|Heat Pumps|Services,elec_eff_cooling,False
Final energy consumption|Heavy industries|Steel and metallic|Heating|Low enthalpy heat|Liquids|Fossil|Diesel,fuel_eff_emi_heavy_ind,False
Final energy consumption|Light Industries|Liquids|Fossil|Diesel,fuel_eff_emi_light_ind,False
Final energy consumption|Agriculture|Liquids|Fossil|Diesel,fuel_eff_emi_agr,False
Final energy consumption|Transportation|Road|Passenger|Liquids|Bio|Methanol|PC0,fuel_eff_emi_road,False
Final energy consumption|Transportation|Aviation|Passenger|Liquids|Bio|Others,fuel_eff_emi_fly,False
Socio-economic|Demographic|Households|Area,Other_inputs,False
Installed capacity|Electricity|Liquids|Fossil|Gasoline|Steam turbines,installed_capacity_supply,False
Generation|Yearly|Electricity|Liquids|Fossil|Gasoline|Steam turbines,yearly_generation_supply,False
Fuel consumption|Electricity|Liquids|Fossil|Gasoline|Boilers,fuel_consumption_supply,False
Emissions|Kyoto gases|Fossil CO2|Electricity|Liquids|Fossil|Gasoline|Boilers,emission_supply,False
Efficiency|Electricity|Liquids|Fossil|Gasoline|Steam turbines,efficiency_supply,False
Investments|Electricity|Liquids|Fossil|Gasoline|Steam turbine based plants,investment_supply,False
Generation|Winter peak|Electricity|Liquids|Fossil|Gasoline|Steam turbines,winter_peak_hourly_generation,False
Hourly power consumption|Winter peak|Electricity|Cooling,winter_peak_hourly_consumption,True
Hourly power consumption|Summer peak|Electricity|Cooling,summer_peak_hourly_consumption,True
Generation|Summer peak|Electricity|Liquids|Fossil|Gasoline|Steam turbines,summer_peak_hourly_generation,False
Hourly power consumption|Percentile 25|Electricity|Cooling,percentile25_hourly_consumption,True
Generation|Percentile 25|Electricity|Liquids|Fossil|Gasoline|Steam turbines,Percentile25_hourly_generation,False
Hourly power consumption|Percentile 50|Electricity|Cooling,percentile50_hourly_consumption,True
Generation|Percentile 50|Electricity|Liquids|Fossil|Gasoline|Steam turbines,Percentile50_hourly_generation,False
Final energy consumption|Heating|Space heating|Residential|Liquids|Fossil|Gasoline,fuel_eff_emi_heating,False
Final energy consumption|Heavy industries|Steel and metallic|Heating|Low enthalpy heat|Liquids|Fossil|Gasoline,fuel_eff_emi_heavy_ind,False
Final energy consumption|Light Industries|Liquids|Fossil|Gasoline,fuel_eff_emi_light_ind,False
